grupo,alias_name,alias_key,official_name,official_key,decision,source_sheet
1,ACMED S A,ACMED,ACMED,ACMED,unificar,A-F
manual-acmed,ACMED S,ACMED S,ACMED,ACMED,unificar,Revision manual
2,ACTIVASALUD S.R.L.,ACTIVASALUD,ACTIVASALUD S.R.L,ACTIVASALUD,unificar,A-F
3,AEQUALIS S A,AEQUALIS,AEQUALIS S A,AEQUALIS,unificar,A-F
3,AQUALIS S.R.L.,AQUALIS,AEQUALIS S A,AEQUALIS,unificar,A-F
4,AGUAIER PINCHEVSKY,AGUAIER PINCHEVSKY,AGUAIER PINCHEVSKY,AGUAIER PINCHEVSKY,unificar,A-F
4,AGUAIER PINCHEVSKY SOCIEDAD,AGUAIER PINCHEVSKY SOCIEDAD,AGUAIER PINCHEVSKY,AGUAIER PINCHEVSKY,unificar,A-F
5,Alimentaria Sustentable,ALIMENTARIA SUSTENTABLE,Alimentaria Sustentable,ALIMENTARIA SUSTENTABLE,unificar,A-F
6,Alimentos Viandas,ALIMENTOS VIANDAS,Alimentos Viandas,ALIMENTOS VIANDAS,unificar,A-F
6,ALIMENTOS Y VIANDAS SA,ALIMENTOS Y VIANDAS,Alimentos Viandas,ALIMENTOS VIANDAS,unificar,A-F
7,APR Energy,APR ENERGY,APR Energy,APR ENERGY,unificar,A-F
8,ASHI S.A.,ASHI,ASHI S.A,ASHI,unificar,A-F
9,ASOCIACION DEL PERSONAL AERO,ASOCIACION DEL PERSONAL AERO,ASOCIACION DEL PERSONAL AERO,ASOCIACION DEL PERSONAL AERO,unificar,A-F
9,ASOCIACION DEL PERSONAL AERONA,ASOCIACION DEL PERSONAL AERONA,ASOCIACION DEL PERSONAL AERO,ASOCIACION DEL PERSONAL AERO,unificar,A-F
10,BAZAR CHEF S.R.L.,BAZAR CHEF,BAZAR CHEF S.R.L,BAZAR CHEF,unificar,A-F
11,BLUE CATERING SA,BLUE CATERING,BLUE CATERING S.,BLUE CATERING S,unificar,A-F
11,BLUE CATERING S.,BLUE CATERING S,BLUE CATERING S.,BLUE CATERING S,unificar,A-F
validacion-final-1,BOSQUEMAR EMPRENDIMIENTOS,BOSQUEMAR EMPRENDIMIENTOS,BOSQUEMAR EMPRENDIMIENTOS,BOSQUEMAR EMPRENDIMIENTOS,unificar,Validación Final v2
validacion-final-1,BOSQUEMAR EMPRENDIMIENTOS TURI,BOSQUEMAR EMPRENDIMIENTOS TURI,BOSQUEMAR EMPRENDIMIENTOS,BOSQUEMAR EMPRENDIMIENTOS,unificar,Validación Final v2
validacion-final-1,BOSQUEMAR EMPRENDIMIENTOS TURISTICOS S A,BOSQUEMAR EMPRENDIMIENTOS TURISTICOS,BOSQUEMAR EMPRENDIMIENTOS,BOSQUEMAR EMPRENDIMIENTOS,unificar,Validación Final v2
validacion-final-2,BURGER COUPLE 3 S. R. L,BURGER COUPLE 3,BURGER COUPLE 3 S. R. L,BURGER COUPLE 3,unificar,Validación Final v2
validacion-final-2,BURGER COUPLE HOUSE,BURGER COUPLE HOUSE,BURGER COUPLE 3 S. R. L,BURGER COUPLE 3,unificar,Validación Final v2
validacion-final-3,C & C SERVICIOS INFORMATICO,C C SERVICIOS INFORMATICO,C & C SERVICIOS INFORMATICO,C C SERVICIOS INFORMATICO,unificar,Validación Final v2
validacion-final-3,C & C SERVICIOS INFORMATICOS,C C SERVICIOS INFORMATICOS,C & C SERVICIOS INFORMATICO,C C SERVICIOS INFORMATICO,unificar,Validación Final v2
12,capristo carlos marcelo,CAPRISTO CARLOS MARCELO,CAPRISTO CARLOS MARCELO,CAPRISTO CARLOS MARCELO,unificar,A-F
13,Celumania,CELUMANIA,Celumania,CELUMANIA,unificar,A-F
14,Cemair,CEMAIR,Cemair,CEMAIR,unificar,A-F
validacion-final-4,Centro M?dico Amenabar,CENTRO M DICO AMENABAR,Centro M?dico Amenabar,CENTRO M DICO AMENABAR,unificar,Validación Final v2
validacion-final-4,CENTRO MEDICO AMENABAR S. R.,CENTRO MEDICO AMENABAR S R,Centro M?dico Amenabar,CENTRO M DICO AMENABAR,unificar,Validación Final v2
15,Centro Médico Amenabar,CENTRO MEDICO AMENABAR,Centro Médico Amenabar,CENTRO MEDICO AMENABAR,unificar,A-F
16,cesar ponce,CESAR PONCE,cesar ponce,CESAR PONCE,unificar,A-F
16,CESAR PONCE REBERTE,CESAR PONCE REBERTE,cesar ponce,CESAR PONCE,unificar,A-F
16,PONCE REBERTE CESAR,PONCE REBERTE CESAR,cesar ponce,CESAR PONCE,unificar,A-F
17,CNH SA,CNH,CNH SA,CNH,unificar,A-F
18,Cocina y Patagonia,COCINA Y PATAGONIA,COCINA Y PATAGONIA,COCINA Y PATAGONIA,unificar,A-F
19,Comité Ejecutivo,COMITE EJECUTIVO,Comite Ejecutivo,COMITE EJECUTIVO,unificar,A-F
20,COMPLEJO AKIRA SA,COMPLEJO AKIRA,COMPLEJO AKIRA SA,COMPLEJO AKIRA,unificar,A-F
21,DGSAPIENS S.A.S.,DGSAPIENS S,DGSAPIENS S.A.S,DGSAPIENS S,unificar,A-F
22,Draconis,DRACONIS,Draconis,DRACONIS,unificar,A-F
23,Droguería Meta,DROGUERIA META,Drogueria Meta,DROGUERIA META,unificar,A-F
24,El Perro de la Luna,EL PERRO DE LA LUNA,El Perro de la Luna,EL PERRO DE LA LUNA,unificar,A-F
24,EL PERRO EN LA LUNA SRL,EL PERRO EN LA LUNA,El Perro de la Luna,EL PERRO DE LA LUNA,unificar,A-F
25,E N O D SOCIEDAD DE RESPONSABI,E N O D SOCIEDAD DE RESPONSABI,ENOD SOCIEDAD DE RESPONSAB,ENOD SOCIEDAD DE RESPONSAB,unificar,A-F
25,E N O D SOCIEDAD DE RESPONSABILIDAD,E N O D SOCIEDAD DE RESPONSABILIDAD,ENOD SOCIEDAD DE RESPONSAB,ENOD SOCIEDAD DE RESPONSAB,unificar,A-F
25,ENOD SOCIEDAD DE RESPONSAB,ENOD SOCIEDAD DE RESPONSAB,ENOD SOCIEDAD DE RESPONSAB,ENOD SOCIEDAD DE RESPONSAB,unificar,A-F
26,EQUIS QUINCE S.A.,EQUIS QUINCE,EQUIS QUINCE S.A,EQUIS QUINCE,unificar,A-F
validacion-final-5,Escalum,ESCALUM,Escalum,ESCALUM,unificar,Validación Final v2
validacion-final-5,ESCALUM INVESTMENT S.A.,ESCALUM INVESTMENT,Escalum,ESCALUM,unificar,Validación Final v2
27,Fashion Cook,FASHION COOK,Fashion Cook,FASHION COOK,unificar,A-F
28,fernandez grijalva,FERNANDEZ GRIJALVA,fernandez grijalva,FERNANDEZ GRIJALVA,unificar,A-F
28,FERNANDEZ GRIJALVA. JOAQUIN PATRICIO,FERNANDEZ GRIJALVA JOAQUIN PATRICIO,fernandez grijalva,FERNANDEZ GRIJALVA,unificar,A-F
29,FIDEICOMISO STAY HOME FIDEICOM,FIDEICOMISO STAY HOME FIDEICOM,FIDEICOMISO STAY HOME FIDEICOM,FIDEICOMISO STAY HOME FIDEICOM,unificar,A-F
29,FIDEICOMISO STAY HOME FIDEICOMISO,FIDEICOMISO STAY HOME FIDEICOMISO,FIDEICOMISO STAY HOME FIDEICOM,FIDEICOMISO STAY HOME FIDEICOM,unificar,A-F
30,FTL S.A.,FTL,FTL,FTL,unificar,A-F
validacion-final-6,Gerbaudo Patricio,GERBAUDO PATRICIO,Gerbaudo Patricio,GERBAUDO PATRICIO,unificar,Validación Final v2
validacion-final-6,GERBAUDO PATRICIO JAVIER,GERBAUDO PATRICIO JAVIER,Gerbaudo Patricio,GERBAUDO PATRICIO,unificar,Validación Final v2
31,Gestión Citera,GESTION CITERA,Gestión Citera,GESTION CITERA,unificar,G-M
31,GESTION CITERA SOCIEDAD,GESTION CITERA SOCIEDAD,Gestión Citera,GESTION CITERA,unificar,G-M
31,GESTION CITERA SOCIEDAD DE,GESTION CITERA SOCIEDAD DE,Gestión Citera,GESTION CITERA,unificar,G-M
31,GESTION CITERA SOCIEDAD DE PRO,GESTION CITERA SOCIEDAD DE PRO,Gestión Citera,GESTION CITERA,unificar,G-M
31,GESTION CITERA SOCIEDAD DE PRODUCTORES,GESTION CITERA SOCIEDAD DE PRODUCTORES,Gestión Citera,GESTION CITERA,unificar,G-M
31,GESTION CITERA SOCIEDAD DE PRODUCTORES ASESOR,GESTION CITERA SOCIEDAD DE PRODUCTORES ASESOR,Gestión Citera,GESTION CITERA,unificar,G-M
validacion-final-7,GRAFICA VELTON SOCIEDAD ANONIMA,GRAFICA VELTON,GRAFICA VELTON SOCIEDAD ANONIMA,GRAFICA VELTON,unificar,Validación Final v2
