received_date,reference,client_name,channel,billed_amount,octopus_profit,status,operation_type,source_path,note
2026-08-05,ECHEQ 29-7,Star Medical,HYF,15235404,737798,OK,NORMAL,C:\Users\Luciano\Downloads\83838de5-e2bf-4ff5-8cc0-17a2483ff340.jpeg,
2026-08-05,ECHEQ 31-7,El Perro de la Luna,Sarten,5951876,370106,OK,NORMAL,C:\Users\Luciano\Downloads\72687683-d44c-49c7-8f39-42463e4e3548.jpeg,
2026-08-05,ECHEQ 30/07 y 2/09/26,Mantovana,HYF,61061580,4083523,OK,NORMAL,C:\Users\Luciano\Downloads\1ed9e7fa-3c76-41a5-aec8-232e298e582b.jpeg,
2026-08-05,ECHEQ 31/07 - 15 y 17/09/26,Mantovana,Espora,180974727,12115895,OK,NORMAL,C:\Users\Luciano\Downloads\9c04f560-2ee4-44b4-8ef9-ec45fd4eb7de.jpeg,
2026-08-05,ECHEQ 03/08/26,Drogueria Meta,Espora,15296540,869545,OK,NORMAL,C:\Users\Luciano\Downloads\f813be53-0f4f-4aa0-a740-9ebaf4e6f205.jpeg,
2026-08-05,ECHEQ 31/07/26,Managing,Espora,16531580,944614,OK,NORMAL,C:\Users\Luciano\Downloads\19c38cef-163e-4045-8f40-d1d3f8985263.jpeg,
2026-08-05,ECHEQ 31/07/26,Alimentos Viandas,Espora,96637585,5699739,OK,NORMAL,C:\Users\Luciano\Downloads\e1a5b300-0e91-4174-b064-0baeda9c5369.jpeg,
2026-08-05,ECHEQ 12/08/26,Comite Ejecutivo,Espora,106603710,5566557,REVISION,NORMAL,C:\Users\Luciano\Downloads\ef9a690a-3577-4234-b43d-133326d72d75 (1).jpeg,Cuadro indica Mayo-Julio 2026; revisar si corresponde imputarlo completo a agosto o como acumulado previo.
2026-08-05,ECHEQ 12/08/26,Comite Ejecutivo,Espora,106603710,5566557,DUPLICADO,NORMAL,C:\Users\Luciano\Downloads\ef9a690a-3577-4234-b43d-133326d72d75.jpeg,Misma imagen y mismos importes que ef9a690a-3577-4234-b43d-133326d72d75 (1).jpeg; no se usa para acumular.
2026-08-05,ECHEQ 07/08/26,Cocina y Patagonia,Espora,44893363,2233037,OK,NORMAL,C:\Users\Luciano\Downloads\28883798-ae92-41dd-af74-96e653ef7dd6.jpeg,
2026-08-06,ECHEQ 6-8 Y 7-8,Escalum,HYF,72079458,4322855,OK,NORMAL,C:\Users\Luciano\OneDrive\Documentos\OCTOPUS\outputs\control_cuadros_pendientes_2026_07_08\drive_originales\PHOTO-2026-08-06-18-56-58.jpg,Extraido de Drive Pendientes Agosto; FC neta usada como Facturado; ambas fechas ECHEQ corresponden a agosto.
2026-08-06,ECHEQ 6-8,Draconis,HYF,37515238,2253615,OK,NORMAL,C:\Users\Luciano\OneDrive\Documentos\OCTOPUS\outputs\control_cuadros_pendientes_2026_07_08\drive_originales\PHOTO-2026-08-06-18-54-57.jpg,Extraido de Drive Pendientes Agosto; FC neta usada como Facturado.
2026-08-06,ECHEQ 6-8,APR Energy,Espora,41618004,2494084,OK,NORMAL,C:\Users\Luciano\OneDrive\Documentos\OCTOPUS\outputs\control_cuadros_pendientes_2026_07_08\drive_originales\PHOTO-2026-08-06-18-53-30.jpg,Extraido de Drive Pendientes Agosto; FC neta usada como Facturado.
2026-08-09,ECHEQ 09/08/26 Fact 64529,Alimentaria Sustentable,Espora,14673817,176086,OK_TRANSFERENCIA_1_2,TRANSFERENCIA_1_2,C:\Users\Luciano\OneDrive\Documentos\OCTOPUS\outputs\control_cuadros_pendientes_2026_07_08\drive_originales\PHOTO-2026-08-06-13-34-05.jpg,Modalidad TRANSFERENCIA_1_2: costos pagados previamente; ganancia validada como 1.20% del ECHEQ visible.
