drive_id,file_name,mime_type,size_bytes,sha256,visual_sha256,detected_at,folder_id,folder_period,operation_ref,status,duplicate_of,duplicate_reason,source_url,note
1FB28nC9sQLcpUVs36oo2uUJUA2Xrk5r1,PHOTO-2026-07-01-13-00-18.jpg,image/jpeg,399864,634ded1103f68506a14ff9f4dea5ad7ddef63838245b8cc92181192dc3d1a8ee,11ae657b7644fc6573a65e45d6c4fb6905088970314371bed01ad8997c3dad9e,2026-09-17T21:32:41+00:00,1osCORCkNaQC6YwtD5slDIHgDC5u823cn,2026-07,legacy:6239d75a76429344aa82c2ba7ac9d1a33ed6983cb7bf3ab42743f77eae220e10,OK_TRANSFERENCIA_1_2,,,https://drive.google.com/open?id=1FB28nC9sQLcpUVs36oo2uUJUA2Xrk5r1,"Modalidad TRANSFERENCIA_1_2: costos pagados previamente; base calculada desde ECHEQ/transferencia visible al 1,20%."
1gr-dCEY7u6BNWnjCQjqNoeLNJqTBsrTn,PHOTO-2026-07-02-11-36-40.jpg,image/jpeg,425688,ce496237986683ba9e35db2b6b2641c620a816b4dd473d285fb4a6cd10e849aa,c720e3b4ab93716158380eb53a84fb77e22b66519d6363ad253bddd5f9274705,2026-09-17T21:32:41+00:00,1osCORCkNaQC6YwtD5slDIHgDC5u823cn,2026-07,legacy:52785f5a4198a2fa4eb63251db840287d63b3100071548dee05f0a634d00c23f,OK,,,https://drive.google.com/open?id=1gr-dCEY7u6BNWnjCQjqNoeLNJqTBsrTn,Vinculado a operacion por SHA-256 local.
1E29lmZZ6ft5V9pIeqLSsVI4s4u4AoyCD,PHOTO-2026-07-03-12-49-44.jpg,image/jpeg,341376,e0a2c51c84e44a135a45292992daa593e14de0f84845288d57749c81ac1ed12f,11adf48a1c00ac5f51b1f56de5eb1ea591404590d2992fe9c0b9c505258c1461,2026-09-17T21:32:42+00:00,1osCORCkNaQC6YwtD5slDIHgDC5u823cn,2026-07,legacy:fd9ed5460c56c1fea85ab765644e9961846e81d271200f7ab98794f044c2c502,OK_TRANSFERENCIA_1_2,,,https://drive.google.com/open?id=1E29lmZZ6ft5V9pIeqLSsVI4s4u4AoyCD,"Modalidad TRANSFERENCIA_1_2: costos pagados previamente; base calculada desde ECHEQ/transferencia visible al 1,20%."
19R5VFVq6UW3xEqkjL5DpFQNog60IbKAV,PHOTO-2026-07-03-14-44-35.jpg,image/jpeg,126990,948e70f247d3a31bf3a10a78c5945ce7cf9ea9844df2b80c4cb439312cb89397,da4d1729a1adc1f57551ba7d6f43554476348db15693aa5658065d539cab956a,2026-09-17T21:32:43+00:00,1osCORCkNaQC6YwtD5slDIHgDC5u823cn,2026-07,legacy:151eddff0b4cb22a0cf11f738421bd908d0c89b38b8cecb5a48b5f7f5db79588,OK,,,https://drive.google.com/open?id=19R5VFVq6UW3xEqkjL5DpFQNog60IbKAV,Vinculado a operacion por SHA-256 local.
1j5gpxeWRnBR0FnwPsxVIZBzAkKx-eYSC,PHOTO-2026-07-03-15-28-27.jpg,image/jpeg,496239,d97b9db4464779bfe5fc2896c89c468c1d0c7201c7ea86c7196e1608572cf7d7,44cc70cd24de8f08ca444533b86e79dd7c9cd5b72b03bb3058ad8e068063fe01,2026-09-17T21:32:44+00:00,1osCORCkNaQC6YwtD5slDIHgDC5u823cn,2026-07,legacy:237459a204c010fff2fd78677ac8c0950bc52f1417cd4eec818b74a3c0f889b4,OK,,,https://drive.google.com/open?id=1j5gpxeWRnBR0FnwPsxVIZBzAkKx-eYSC,Vinculado a operacion por SHA-256 local.
1R7vlI0NDPGP89SQX2HdS2XBlDQhAwACE,PHOTO-2026-07-03-16-51-45.jpg,image/jpeg,498694,8ad92ed790c9e9474237561ca6581594f50d6bd2d3a54dec33cf3a5c53cf529c,69325e0d89b6f033416edf212288254c6635f140eb36a56ddaf1b86081fc700f,2026-09-17T21:32:45+00:00,1osCORCkNaQC6YwtD5slDIHgDC5u823cn,2026-07,legacy:684548f0c390533a8fb449d041e83e2904bc8870dbbfbc3839f67f490c16048d,OK,,,https://drive.google.com/open?id=1R7vlI0NDPGP89SQX2HdS2XBlDQhAwACE,Vinculado a operacion por SHA-256 local.
18vA6XEKeJcei4gIRkJ77_3hvFOvTdfwf,PHOTO-2026-07-06-13-14-53.jpg,image/jpeg,391922,c0f8555e80b5220be9edea5ed568b724829f3fe5520093cb220abc2d679ff5ae,1b5515798f9a7e90136b1fb64e92910d0fc8f56ab3aabfa720907212f02fa8ce,2026-09-17T21:32:45+00:00,1osCORCkNaQC6YwtD5slDIHgDC5u823cn,2026-07,legacy:3f033f1249331bcf1c8ce2485ed9fd86fde299b8efd143892fe4127306695af9,OK,,,https://drive.google.com/open?id=18vA6XEKeJcei4gIRkJ77_3hvFOvTdfwf,Vinculado a operacion por SHA-256 local.
1yksl9R-PIE8yhfjv4HLbLHqUs9K9LSEd,PHOTO-2026-07-06-14-23-56.jpg,image/jpeg,431949,1c0cfac7e8a59266b40af8c0a0f117081365c89ed8f0cf79ff8ed42b3db565a0,1c14f7a7dd0e94ab834ddb737dbde34e6d51247dc777129b71ce0b62effa7ad5,2026-09-17T21:32:46+00:00,1osCORCkNaQC6YwtD5slDIHgDC5u823cn,2026-07,legacy:67b12d6ce15dd407db55444702828f804a2179ee5f4c7c79515ac5b1d4c399bb,OK,,,https://drive.google.com/open?id=1yksl9R-PIE8yhfjv4HLbLHqUs9K9LSEd,Vinculado a operacion por SHA-256 local.
1UvO_Pkb-GbBGGC_SOgIHkcARTulPv9_7,PHOTO-2026-07-06-14-34-18.jpg,image/jpeg,433375,c4c30fcd4e71f9109754ec5dce61a817af6d062ac1302993106151bd5193da5c,12a56674e3bb967f44f302756b85f622afa639524f4f7ce73168c7899b94b146,2026-09-17T21:32:47+00:00,1osCORCkNaQC6YwtD5slDIHgDC5u823cn,2026-07,legacy:483fb1dc1a1963aae73b67fd90ddb9598768287a166e11996ae401a3733519d0,OK,,,https://drive.google.com/open?id=1UvO_Pkb-GbBGGC_SOgIHkcARTulPv9_7,Vinculado a operacion por SHA-256 local.
1PBPDy1V2DmBLnDtmLqMGPl1-vbtsDupv,PHOTO-2026-07-06-14-37-18.jpg,image/jpeg,531999,72b075cbcf4ff0b200cbb00479715a8c5728f854c9a170be9cb6e6a22efa5f7c,47a9cb973dc80413d97d4f24508739641f7afe12bdfe4ccb73a5eda09d9d428f,2026-09-17T21:32:48+00:00,1osCORCkNaQC6YwtD5slDIHgDC5u823cn,2026-07,legacy:59fd5889d19c75af78e6146fbab9bae8ef9878ffca9ffcf0edbc7624563d8b1c,OK,,,https://drive.google.com/open?id=1PBPDy1V2DmBLnDtmLqMGPl1-vbtsDupv,Vinculado a operacion por SHA-256 local.
